Person Re-Identification#PRID2011#Rank-1#92.0
Person Re-Identification#PRID2011#Rank-20#100.0
Person Re-Identification#PRID2011#Rank-5#97.7
Person Re-Identification#iLIDS-VID#Rank-1#63.1
Person Re-Identification#iLIDS-VID#Rank-20#92.5
Person Re-Identification#iLIDS-VID#Rank-5#81.9
Unsupervised Person Re-Identification#DukeMTMC-VideoReID#mAP#76.9
Unsupervised Person Re-Identification#DukeMTMC-VideoReID#Rank-1#83.6
Unsupervised Person Re-Identification#DukeMTMC-VideoReID#Rank-5#93.1
Unsupervised Person Re-Identification#DukeMTMC-VideoReID#Rank-20#97.2
Unsupervised Person Re-Identification#PRID2011#Rank-1#92.00
Unsupervised Person Re-Identification#PRID2011#Rank-5#97.7
Unsupervised Person Re-Identification#PRID2011#Rank-20#100.0
Unsupervised Person Re-Identification#iLIDS-VID#Rank-1#63.1
Unsupervised Person Re-Identification#iLIDS-VID#Rank-5#81.9
Unsupervised Person Re-Identification#iLIDS-VID#Rank-20#92.5
