Anomaly Detection#AnoShift#ROC-AUC IID#84.54
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#85.62
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#54.24
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#50.42
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#76.86
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#71.43
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#49.57
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#50.48
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#54.55
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#49.35
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#84.76
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#44.87
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#49.19
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#91.5
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#79.29
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#34.96
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#73.43
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#69.61
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#31.81
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#85.75
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#49.03
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#28.19
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#84.54
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#86.05
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#28.15
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#86.09
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#75.26
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#27.16
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#84.86
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#52.26
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#22.45
Unsupervised Anomaly Detection#AnoShift#ROC-AUC IID#81
Unsupervised Anomaly Detection#AnoShift#ROC-AUC NEAR#44.06
Unsupervised Anomaly Detection#AnoShift#ROC-AUC FAR#19.96
