Scene Graph Generation#Visual Genome#Recall@50#25.4
Unbiased Scene Graph Generation#Visual Genome#ng-mR@20#30.0
Unbiased Scene Graph Generation#Visual Genome#mR@20#22.1
Unbiased Scene Graph Generation#Visual Genome#ng-mR@20#29.1
Unbiased Scene Graph Generation#Visual Genome#mR@20#20.8
Unbiased Scene Graph Generation#Visual Genome#ng-mR@20#21.6
Unbiased Scene Graph Generation#Visual Genome#mR@20#15.8
Unbiased Scene Graph Generation#Visual Genome#ng-mR@20#17.6
Unbiased Scene Graph Generation#Visual Genome#mR@20#12.8
Unbiased Scene Graph Generation#Visual Genome#ng-mR@20#11.8
Unbiased Scene Graph Generation#Visual Genome#mR@20#8.6
Unbiased Scene Graph Generation#Visual Genome#ng-mR@20#11.7
