Saliency Detection#DUT-OMRON#MAE#0.051
Saliency Detection#HKU-IS#MAE#0.027
Salient Object Detection#HKU-IS#MAE#0.027
Salient Object Detection#HKU-IS#E-measure#0.953
Salient Object Detection#HKU-IS#max_F1#0.939
Salient Object Detection#HKU-IS#S-measure#0.919
Salient Object Detection#ECSSD#MAE#0.033
Salient Object Detection#ECSSD#max_F1#0.950
Salient Object Detection#ECSSD#S-measure#0.924
Salient Object Detection#ECSSD#E-measure#0.924
Salient Object Detection#DUTS-TE#MAE#0.034
Salient Object Detection#DUTS-TE#max_F1#0.897
Salient Object Detection#DUTS-TE#E-measure#0.909
Salient Object Detection#DUTS-TE#S-measure#0.892
Salient Object Detection#PASCAL-S#MAE#0.059
Salient Object Detection#PASCAL-S#max_F1#0.874
Salient Object Detection#PASCAL-S#S-measure#0.856
Salient Object Detection#PASCAL-S#E-measure#0.865
Salient Object Detection#DUT-OMRON#max_F1#0.819
Salient Object Detection#DUT-OMRON#MAE#0.051
Salient Object Detection#DUT-OMRON#E-measure#0.873
Salient Object Detection#DUT-OMRON#S-measure#0.838
