Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#68.0
Discourse Parsing#RST-DT#Standard Parseval (Relation)#57.3
Discourse Parsing#RST-DT#Standard Parseval (Full)#55.4
Discourse Parsing#RST-DT#Standard Parseval (Span)#78.5
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#67.9
Discourse Parsing#RST-DT#Standard Parseval (Relation)#56.6
Discourse Parsing#RST-DT#Standard Parseval (Full)#54.4
Discourse Parsing#RST-DT#Standard Parseval (Span)#77.8
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#67.4
Discourse Parsing#RST-DT#Standard Parseval (Relation)#57.0
Discourse Parsing#RST-DT#Standard Parseval (Full)#54.8
Discourse Parsing#RST-DT#Standard Parseval (Span)#77.3
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#66.6
Discourse Parsing#RST-DT#Standard Parseval (Relation)#55.8
Discourse Parsing#RST-DT#Standard Parseval (Full)#53.8
Discourse Parsing#RST-DT#Standard Parseval (Span)#76.1
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#66.5
Discourse Parsing#RST-DT#Standard Parseval (Relation)#55.4
Discourse Parsing#RST-DT#Standard Parseval (Full)#53.7
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#65.9
Discourse Parsing#RST-DT#Standard Parseval (Relation)#56.3
Discourse Parsing#RST-DT#Standard Parseval (Full)#54.2
Discourse Parsing#RST-DT#Standard Parseval (Span)#76.5
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#65.4
Discourse Parsing#RST-DT#Standard Parseval (Relation)#54.5
Discourse Parsing#RST-DT#Standard Parseval (Full)#52.2
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#65.3
Discourse Parsing#RST-DT#Standard Parseval (Relation)#54.9
Discourse Parsing#RST-DT#Standard Parseval (Full)#52.7
Discourse Parsing#RST-DT#Standard Parseval (Span)#69.8
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#59.1
Discourse Parsing#RST-DT#Standard Parseval (Relation)#48.3
Discourse Parsing#RST-DT#Standard Parseval (Full)#46.6
Discourse Parsing#RST-DT#Standard Parseval (Span)#68.3
Discourse Parsing#RST-DT#Standard Parseval (Nuclearity)#57.8
Discourse Parsing#RST-DT#Standard Parseval (Relation)#47.8
Discourse Parsing#RST-DT#Standard Parseval (Full)#46.0
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Span)#77.8
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Nuclearity)#60.0
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Relation)#51.4
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Full)#44.4
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Span)#77.3
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Nuclearity)#57.9
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Relation)#50.0
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Full)#43.4
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Span)#73.6
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Nuclearity)#56.4
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Relation)#47.4
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Full)#40.7
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Span)#75.7
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Nuclearity)#56.1
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Relation)#48.7
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Full)#41.5
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Span)#73.2
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Nuclearity)#55.5
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Relation)#47.9
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Full)#41.4
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Span)#74.3
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Nuclearity)#55.2
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Relation)#47.0
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Full)#40.2
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Span)#73.7
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Nuclearity)#54.5
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Relation)#42.7
Discourse Parsing#Instructional-DT (Instr-DT)#Standard Parseval (Full)#36.7
